net,length_um
net259,7.68µm
wr_addr[0],7.67µm
_112_,7.66µm
net190,7.66µm
_106_,7.64µm
net152,7.58µm
_129_,7.54µm
net196,7.54µm
_189_,7.52µm
valid_d2,7.52µm
_071_,7.44µm
net94,7.44µm
net511,7.44µm
net291,7.42µm
_065_,7.4µm
net240,7.34µm
_193_,7.325µm
_109_,7.32µm
acc_core.adder.cla_blocks\[7\].block.sum\[2\],7.3µm
net618,7.28µm
net158,7.245µm
_094_,7.24µm
_115_,7.22µm
_182_,7.22µm
net122,7.22µm
net131,7.2µm
rd_addr\[6\],7.18µm
net191,7.18µm
net207,7.18µm
_171_,7.16µm
net508,7.12µm
net123,7.1µm
_098_,7.08µm
_085_,7.06µm
_180_,7.06µm
_222_,7.06µm
_225_,7.04µm
_038_,6.98µm
_241_,6.94µm
_221_,6.86µm
net64,6.86µm
net203,6.86µm
net516,6.86µm
net76,6.78µm
net524,6.76µm
net528,6.76µm
_160_,6.74µm
_176_,6.74µm
net199,6.74µm
_089_,6.72µm
_132_,6.72µm
net193,6.655µm
_233_,6.64µm
net504,6.62µm
net18,6.6µm
net188,6.6µm
net323,6.58µm
net235,6.54µm
_042_,6.52µm
acc_core.adder.cla_blocks\[2\].block.sum\[0\],6.52µm
_036_,6.48µm
net322,6.48µm
_231_,6.4µm
net142,6.4µm
acc_core.adder.cla_blocks\[4\].block.sum\[0\],6.38µm
_045_,6.37µm
_184_,6.355µm
_072_,6.35µm
net510,6.3µm
net440,6.28µm
_235_,6.2µm
net213,6.2µm
_092_,6.18µm
acc_core.adder.cla_blocks\[0\].block.sum\[3\],6.18µm
dout0_q\[11\],6.18µm
_018_,6.11µm
wr_en,6.09µm
_213_,6.06µm
wr_addr[6],5.97µm
_015_,5.96µm
net507,5.94µm
_206_,5.84µm
net226,5.84µm
net214,5.82µm
acc_out[2],5.75µm
_198_,5.72µm
dout0_q\[2\],5.72µm
net33,5.72µm
net429,5.72µm
net81,5.68µm
net227,5.68µm
wr_addr[1],5.63µm
_230_,5.62µm
